name,email,phone,phone_clean,website,rating,maps_url
El Ángel Herramientas S.A. de C.V.,ventas@elangelherramientas.com,+52 55 5522 6390,525555226390,http://elangelherramientas.com/,4.3,https://www.google.com/maps/place/El+%C3%81ngel+Herramientas+S.A.+de+C.V./data=!4m7!3m6!1s0x85d1fecb772ee201:0xa4adfc2f93c0cb87!8m2!3d19.4313592!4d-99.1279969!16s%2Fg%2F1tdw_w_y!19sChIJAeIud8v-0YURh8vAky_8raQ?authuser=0&hl=en&rclk=1
Ferretería Ferco Center (Distribuidor Truper),ferrecasaortiz@gmail.com,+52 55 5657 2881,525556572881,http://ferrecasaortiz.blogspot.com/,4.4,https://www.google.com/maps/place/Ferreter%C3%ADa+Ferco+Center+%28Distribuidor+Truper%29/data=!4m7!3m6!1s0x85d1fc2c7ac3a45d:0xaa6b4cf2c8631f9e!8m2!3d19.3916175!4d-99.0950698!16s%2Fg%2F1tdf1pwc!19sChIJXaTDeiz80YURnh9jyPJMa6o?authuser=0&hl=en&rclk=1
Ferretornillos y anclajes del centro,"cpluis5006@hotmail.com, cpluisfacturas@gmail.com",+52 55 5735 0734,525557350734,http://ferretornillos-centro.com.mx/,4.3,https://www.google.com/maps/place/Ferretornillos+y+anclajes+del+centro/data=!4m7!3m6!1s0x85d1fecaffefcd0b:0x1acaaa9a15cfde75!8m2!3d19.4307884!4d-99.12625!16s%2Fg%2F1ydxc8l2g!19sChIJC83v_8r-0YURdd7PFZqqyho?authuser=0&hl=en&rclk=1
Ferrecsa S.A. de C.V.,ferrecsaenlinea@ferrecsa.com.mx,+52 55 5518 6294,525555186294,http://www.ferrecsa.com.mx/,4.4,https://www.google.com/maps/place/Ferrecsa+S.A.+de+C.V./data=!4m7!3m6!1s0x85d1fed5593d1a21:0x36edc858bb826333!8m2!3d19.4311525!4d-99.1425094!16s%2Fg%2F1th0bstt!19sChIJIRo9WdX-0YURM2OCu1jI7TY?authuser=0&hl=en&rclk=1
FERREKASA MEXICO,"logistica@ferrekasamexico.com, facturas@ferrekasamexico.com, sch@ferrekasamexico.com, ventas@ferrekasamexico.com",+52 55 9267 2230,525592672230,http://www.ferrekasamexico.com/,4.4,https://www.google.com/maps/place/FERREKASA+MEXICO/data=!4m7!3m6!1s0x85d2072958145cdb:0xe77a4301bfd72d0!8m2!3d19.373715!4d-99.283181!16s%2Fg%2F1q62br5pw!19sChIJ21wUWCkH0oUR0HL9GzCkdw4?authuser=0&hl=en&rclk=1
Ferreshop,info@ferreshop.com.mx,+52 55 5512 9093,525555129093,http://www.ferreshop.com.mx/,4.5,https://www.google.com/maps/place/Ferreshop/data=!4m7!3m6!1s0x85d1fed5030516f7:0x4fe36e9cbae1c51c!8m2!3d19.430513!4d-99.142036!16s%2Fg%2F1tfwkp_w!19sChIJ9xYFA9X-0YURHMXhupxu408?authuser=0&hl=en&rclk=1
Ferretera el 41,ferreterael41df@gmail.com,+52 55 5542 4925,525555424925,http://www.ferretera41.com/,4.0,https://www.google.com/maps/place/Ferretera+el+41/data=!4m7!3m6!1s0x85d1fecb7c4c9c05:0x8139a306fda80349!8m2!3d19.4311535!4d-99.1286659!16s%2Fg%2F1yf_9mb83!19sChIJBZxMfMv-0YURSQOo_QajOYE?authuser=0&hl=en&rclk=1
Comercial S.A. Ferretera Ermita De C.V.,servicioaclientes@ferreteraermita.com.mx,+52 800 087 1538,528000871538,http://www.ferreteraermita.com.mx/,4.5,https://www.google.com/maps/place/Comercial+S.A.+Ferretera+Ermita+De+C.V./data=!4m7!3m6!1s0x85d21ce7601f431d:0x2bf6a5336dcb7001!8m2!3d19.3574123!4d-99.1174985!16s%2Fg%2F1tdr3nsc!19sChIJHUMfYOcc0oURAXDLbTOl9is?authuser=0&hl=en&rclk=1
FERRETERÍA LA GUADALUPANA,,+52 55 5740 6333,525557406333,http://www.ferreterialaguadalupana.com.mx/,4.5,https://www.google.com/maps/place/FERRETER%C3%8DA+LA+GUADALUPANA/data=!4m7!3m6!1s0x85d1fec36ddc9949:0xafc3e11602fde153!8m2!3d19.4146619!4d-99.1325508!16s%2Fg%2F1tghdgxg!19sChIJSZncbcP-0YURU-H9Ahbhw68?authuser=0&hl=en&rclk=1
"FERRETERIA LA LIBRA, S.A. DE C.V.",,+52 55 5522 8328,525555228328,http://www.ferreterialalibra.com/,4.2,"https://www.google.com/maps/place/FERRETERIA+LA+LIBRA,+S.A.+DE+C.V./data=!4m7!3m6!1s0x85d1fecc9904c71b:0xd6abe75ae7a0d88!8m2!3d19.4314408!4d-99.1293571!16s%2Fg%2F11cmcq03nb!19sChIJG8cEmcz-0YURiA16rnW-ag0?authuser=0&hl=en&rclk=1"
Knova Corregidora 57,usuario@dominio.com,+52 55 5542 8593,525555428593,http://www.knova.com.mx/,4.5,https://www.google.com/maps/place/Knova+Corregidora+57/data=!4m7!3m6!1s0x85d1fecb7482b6ef:0xe9c6dd0c06c35665!8m2!3d19.4310255!4d-99.1277624!16s%2Fg%2F1pwfw47z1!19sChIJ77aCdMv-0YURZVbDBgzdxuk?authuser=0&hl=en&rclk=1
"Regia tools, S.A. De C.V.",ventas@hregia.com.mx,+52 55 5518 3378,525555183378,http://www.regia.mx/,4.4,"https://www.google.com/maps/place/Regia+tools,+S.A.+De+C.V./data=!4m7!3m6!1s0x85d1fed4f3c3d349:0xacc1c20104d6ed75!8m2!3d19.4305521!4d-99.1416747!16s%2Fg%2F1td9wgdx!19sChIJSdPD89T-0YURde3WBAHCwaw?authuser=0&hl=en&rclk=1"
Casa Marcus,ventas@casamarcus.com,+52 55 5542 4275,525555424275,https://casamarcus.com/,4.2,https://www.google.com/maps/place/Casa+Marcus/data=!4m7!3m6!1s0x85d1fecc8250bf1b:0x3d976cbcfb8f119f!8m2!3d19.4312055!4d-99.1292331!16s%2Fg%2F1vwlpgy3!19sChIJG79Qgsz-0YURnxGP-7xslz0?authuser=0&hl=en&rclk=1
OUTLET Tlapalero,lupa_buscador@3x.svg,+52 56 1053 3424,525610533424,https://elgrantlapalero.com/,4.5,https://www.google.com/maps/place/OUTLET+Tlapalero/data=!4m7!3m6!1s0x85d1ff303d339819:0xd39eaf386b0bcdd9!8m2!3d19.4314801!4d-99.1292506!16s%2Fg%2F11x22t_ntn!19sChIJGZgzPTD_0YUR2c0LazivntM?authuser=0&hl=en&rclk=1
FERRETERIA EL NUEVO PROGRESO,"atnclientes@ferreteriagpro.com, ejemplo@ejemplo.com, juandanielmtzurbina95@gmail.com, ventas_c20@hotmail.com",+52 55 5522 1669,525555221669,https://ferreteriagpro.com/,4.3,https://www.google.com/maps/place/FERRETERIA+EL+NUEVO+PROGRESO/data=!4m7!3m6!1s0x85d1fecc9ab34a7d:0x64ead55b866cfd4e!8m2!3d19.4314715!4d-99.1296388!16s%2Fg%2F1ptvzyqkl!19sChIJfUqzmsz-0YURTv1shlvV6mQ?authuser=0&hl=en&rclk=1
Ferretaría la Libra,,+52 55 5522 2323,525555222323,https://ferreterialalibra.com/,4.1,https://www.google.com/maps/place/Ferretar%C3%ADa+la+Libra/data=!4m7!3m6!1s0x85d1fecb714cc6e1:0xc54995b59ac752df!8m2!3d19.4310475!4d-99.1282229!16s%2Fg%2F1tc_8_r8!19sChIJ4cZMccv-0YUR31LHmrWVScU?authuser=0&hl=en&rclk=1
Modern Hardware,,+52 55 5574 0906,525555740906,https://festerromanorte.com.mx/,3.8,https://www.google.com/maps/place/Modern+Hardware/data=!4m7!3m6!1s0x85d1ff3ea4c4c427:0x6428fb8a984c99e8!8m2!3d19.4133082!4d-99.1628808!16s%2Fg%2F1pp2x6x16!19sChIJJ8TEpD7_0YUR6JlMmIr7KGQ?authuser=0&hl=en&rclk=1
Casa Cravioto,"quejasysugerencias@casacravioto.com, atencion.ventaenlinea@casacravioto.com",+52 55 5134 3440,525551343440,https://www.casacravioto.com/,4.3,https://www.google.com/maps/place/Casa+Cravioto/data=!4m7!3m6!1s0x85d1fedf5a8ef26f:0x8d81e2d2cad5993a!8m2!3d19.4142331!4d-99.1449228!16s%2Fg%2F11bx1yqp70!19sChIJb_KOWt_-0YUROpnVytLigY0?authuser=0&hl=en&rclk=1
El Gran Tlapalero,lupa_buscador@3x.svg,+52 55 5542 0325,525555420325,https://www.elgrantlapalero.com/,4.2,https://www.google.com/maps/place/El+Gran+Tlapalero/data=!4m7!3m6!1s0x85d1fecc837ab5cb:0x23cf374867f8ef0!8m2!3d19.4311996!4d-99.1293493!16s%2Fg%2F1tzgpkjy!19sChIJy7V6g8z-0YUR8I5_hnTzPAI?authuser=0&hl=en&rclk=1
El Tigre Ferretero,,+52 55 5929 1121,525559291121,https://www.facebook.com/El-Tigre-Ferretero-103039711499949/?modal=admin_todo_tour,4.6,https://www.google.com/maps/place/El+Tigre+Ferretero/data=!4m7!3m6!1s0x85d1ff3cb0af0027:0x3a09237a84d5ab33!8m2!3d19.4310631!4d-99.1261417!16s%2Fg%2F11h0cfhlpl!19sChIJJwCvsDz_0YURM6vVhHojCTo?authuser=0&hl=en&rclk=1
FERRE CHOLULITA,,+52 55 5522 2088,525555222088,https://www.facebook.com/Ferre-Cholulita-100432668398905/,4.3,https://www.google.com/maps/place/FERRE+CHOLULITA/data=!4m7!3m6!1s0x85d1fecba807cbed:0xf006b06ecab92b3a!8m2!3d19.4295815!4d-99.1269414!16s%2Fg%2F11cmyzxtbj!19sChIJ7csHqMv-0YUROiu5ym6wBvA?authuser=0&hl=en&rclk=1
Tlapalería y Ferretería MAXI DEPOT,,+52 55 4619 9375,525546199375,https://www.facebook.com/MAXIDEPOT26/,4.8,https://www.google.com/maps/place/Tlapaler%C3%ADa+y+Ferreter%C3%ADa+MAXI+DEPOT/data=!4m7!3m6!1s0x85d1f9f9cbb4ef89:0xd199e7353c1ed4d9!8m2!3d19.4560126!4d-99.1332383!16s%2Fg%2F11fpl8f5r1!19sChIJie-0y_n50YUR2dQePDXnmdE?authuser=0&hl=en&rclk=1
Comercial Ferretera Mexicana,,+52 55 5564 3451,525555643451,https://www.facebook.com/pg/Comfermex,4.6,https://www.google.com/maps/place/Comercial+Ferretera+Mexicana/data=!4m7!3m6!1s0x85d1ffe50775e8c7:0xb7243444d2116310!8m2!3d19.4114913!4d-99.1627112!16s%2Fg%2F1tg4x5hn!19sChIJx-h1B-X_0YUREGMR0kQ0JLc?authuser=0&hl=en&rclk=1
Tlapalería y Ferretería San Miguel,,+52 55 5524 0950,525555240950,https://www.facebook.com/tlapasanmigueldelvalle/,4.3,https://www.google.com/maps/place/Tlapaler%C3%ADa+y+Ferreter%C3%ADa+San+Miguel/data=!4m7!3m6!1s0x85d1ff90d34bfe97:0x3e4f66c92a45c2bc!8m2!3d19.3697258!4d-99.173395!16s%2Fg%2F1tfm6_p6!19sChIJl_5L05D_0YURvMJFKslmTz4?authuser=0&hl=en&rclk=1
Ferreteria De Corregidora Sa De Cv,Connection Error,+52 55 5522 7445,525555227445,https://www.femeco.com.mx/,4.2,https://www.google.com/maps/place/Ferreteria+De+Corregidora+Sa+De+Cv/data=!4m7!3m6!1s0x85d1fecba9e331e7:0x275ee23d9aea68a0!8m2!3d19.4308848!4d-99.1264081!16s%2Fg%2F1td76x_d!19sChIJ5zHjqcv-0YURoGjqmj3iXic?authuser=0&hl=en&rclk=1
Corregidora's Monster,,+52 55 5350 9472,525553509472,https://www.fixferreterias.com/?utm_source=google&utm_medium=business&utm_campaign=google_my_business,4.4,https://www.google.com/maps/place/Corregidora%27s+Monster/data=!4m7!3m6!1s0x85d1fecc9adde5fb:0x8bd29ede9b6ca5ad!8m2!3d19.4315278!4d-99.1295154!16s%2Fg%2F1tczkt_s!19sChIJ--Xdmsz-0YURraVsm96e0os?authuser=0&hl=en&rclk=1
FERRETERIAS GHD TOOLS,,+52 55 7160 2590,525571602590,,4.5,https://www.google.com/maps/place/FERRETERIAS+GHD+TOOLS/data=!4m7!3m6!1s0x85d203bd4f9f1ac9:0xe04196f5a5777dce!8m2!3d19.4454623!4d-99.1952796!16s%2Fg%2F11hdjslf91!19sChIJyRqfT70D0oURzn13pfWWQeA?authuser=0&hl=en&rclk=1
THE CORNER FERRETERA,,+52 55 2173 1330,525521731330,,4.2,https://www.google.com/maps/place/THE+CORNER+FERRETERA/data=!4m7!3m6!1s0x85d1fecaf4fd1e6d:0xba9cdd0360fbd2eb!8m2!3d19.431002!4d-99.1250556!16s%2Fg%2F1tf166nb!19sChIJbR799Mr-0YUR69L7YAPdnLo?authuser=0&hl=en&rclk=1
Férretera Glorieta S.A. de C.V.,,+52 55 5761 4860,525557614860,,4.6,https://www.google.com/maps/place/F%C3%A9rretera+Glorieta+S.A.+de+C.V./data=!4m7!3m6!1s0x85d1fedfc41993d5:0x2ce6f77f0b27ffb8!8m2!3d19.4104687!4d-99.1437572!16s%2Fg%2F1tlmnn__!19sChIJ1ZMZxN_-0YURuP8nC3_35iw?authuser=0&hl=en&rclk=1
Ferretería Behza S.A de C.V,,+52 55 5522 9116,525555229116,,3.9,https://www.google.com/maps/place/Ferreter%C3%ADa+Behza+S.A+de+C.V/data=!4m7!3m6!1s0x85d1ff0d801109cf:0x6a6519deb859b46a!8m2!3d19.4313845!4d-99.1290114!16s%2Fg%2F11jhtz4kjw!19sChIJzwkRgA3_0YURarRZuN4ZZWo?authuser=0&hl=en&rclk=1
FERRETERÍA EL CINCEL,,+52 55 5522 6616,525555226616,,4.1,https://www.google.com/maps/place/FERRETER%C3%8DA+EL+CINCEL/data=!4m7!3m6!1s0x85d1fecba7dc1def:0xa007d3a59334729f!8m2!3d19.429464!4d-99.1269479!16s%2Fg%2F1tfst6r_!19sChIJ7x3cp8v-0YURn3I0k6XTB6A?authuser=0&hl=en&rclk=1
VELCA FERRETERÍA Y CERRADURAS. S.A. DE C.V.,,+52 55 5518 8301,525555188301,,4.1,https://www.google.com/maps/place/VELCA+FERRETER%C3%8DA+Y+CERRADURAS.+S.A.+DE+C.V./data=!4m7!3m6!1s0x85d1fed4fc15a7dd:0xb99ed26ca4290baa!8m2!3d19.4304931!4d-99.1421508!16s%2Fg%2F11f03hktt1!19sChIJ3acV_NT-0YURqgsppGzSnrk?authuser=0&hl=en&rclk=1
ELECTRO FERRETERA GAMMA,,+52 55 5522 0380,525555220380,,3.9,https://www.google.com/maps/place/ELECTRO+FERRETERA+GAMMA/data=!4m7!3m6!1s0x85d1fecb0733e80d:0x4f62b1bda7d736e3!8m2!3d19.4309693!4d-99.1266346!16s%2Fg%2F11cmd1dp64!19sChIJDegzB8v-0YUR4zbXp72xYk8?authuser=0&hl=en&rclk=1
Ferretería Santa Fe,,+52 55 7617 7806,525576177806,,4.0,https://www.google.com/maps/place/Ferreter%C3%ADa+Santa+Fe/data=!4m7!3m6!1s0x85d1fecaffc9d619:0x21c290e39fcb9bda!8m2!3d19.431084!4d-99.1264512!16s%2Fg%2F1pwfv_6jt!19sChIJGdbJ_8r-0YUR2pvLn-OQwiE?authuser=0&hl=en&rclk=1
Ferretería Ferrecentro Ipecsa,,+52 55 5789 1107,525557891107,,4.5,https://www.google.com/maps/place/Ferreter%C3%ADa+Ferrecentro+Ipecsa/data=!4m7!3m6!1s0x85d1f94ad7489bbd:0xe723451b2b115bbc!8m2!3d19.4347498!4d-99.1210049!16s%2Fg%2F11bzz3268h!19sChIJvZtI10r50YURvFsRKxtFI-c?authuser=0&hl=en&rclk=1
Tlaplería El Tornillo,,+52 55 5535 4741,525555354741,,4.4,https://www.google.com/maps/place/Tlapler%C3%ADa+El+Tornillo/data=!4m7!3m6!1s0x85d1ff2ddc228f15:0xfe768c6d73abbc3c!8m2!3d19.4268646!4d-99.1550672!16s%2Fg%2F11cll7hsp_!19sChIJFY8i3C3_0YURPLyrc22Mdv4?authuser=0&hl=en&rclk=1
La Casa Del Tornillo,,+52 55 5491 0303,525554910303,,4.1,https://www.google.com/maps/place/La+Casa+Del+Tornillo/data=!4m7!3m6!1s0x85d1fecb9d919f1f:0x8b5643d1cd94de05!8m2!3d19.4307044!4d-99.1281031!16s%2Fg%2F11c44xd52x!19sChIJH5-Rncv-0YURBd6UzdFDVos?authuser=0&hl=en&rclk=1
MONARCA FERRETERA,,+52 55 5522 3525,525555223525,,3.1,https://www.google.com/maps/place/MONARCA+FERRETERA/data=!4m7!3m6!1s0x85d1feca5f45cbef:0x442698500789e1a1!8m2!3d19.4306501!4d-99.1251654!16s%2Fg%2F11cns7_2b_!19sChIJ78tFX8r-0YURoeGJB1CYJkQ?authuser=0&hl=en&rclk=1
FERRETERÍA JUÁREZ,,+52 55 5654 8245,525556548245,,4.6,https://www.google.com/maps/place/FERRETER%C3%8DA+JU%C3%81REZ/data=!4m7!3m6!1s0x85d1fe90ec56a033:0x9bff9d1124a29c81!8m2!3d19.4029207!4d-99.1142817!16s%2Fg%2F11bwqfnk5b!19sChIJM6BW7JD-0YURgZyiJBGd_5s?authuser=0&hl=en&rclk=1
Ferretería y Material Eléctrico López 68,,+52 55 5512 6284,525555126284,,4.0,https://www.google.com/maps/place/Ferreter%C3%ADa+y+Material+El%C3%A9ctrico+L%C3%B3pez+68/data=!4m7!3m6!1s0x85d1fed4fb2ed953:0xaec31470f6359158!8m2!3d19.4307167!4d-99.1423547!16s%2Fg%2F1tg7sc7h!19sChIJU9ku-9T-0YURWJE19nAUw64?authuser=0&hl=en&rclk=1
Tlapalería y Ferretería,,,,,4.1,https://www.google.com/maps/place/Tlapaler%C3%ADa+y+Ferreter%C3%ADa/data=!4m7!3m6!1s0x85d1ff765b62d509:0x4728f77d7af57ba!8m2!3d19.4289356!4d-99.1428967!16s%2Fg%2F11j8_7rrc8!19sChIJCdViW3b_0YURulev13ePcgQ?authuser=0&hl=en&rclk=1
